,alpha,beta,delta_m,eta_spin,lam,lamb,mmax,mmin,mpp,mu_chi_1,mu_chi_1_at_0,mu_chi_2,mu_chi_2_at_0,rho_chi_1,rho_chi_2,sigma_chi_1,sigma_chi_1_at_0,sigma_chi_2,sigma_chi_2_at_0,sigma_spin,sigpp,xi_spin
4187,3.36828,1.2134027,3.6616192,0.7018254,0.04118924,2.6032848,79.05315,4.999756,36.495926,0.5476505,0.37609395,0.42652765,0.08131462,-0.9215985,0.056476593,0.47015822,0.40522757,0.5167189,0.13961908,0.96615565,4.6720524,0.13763227
4188,3.6420627,1.0818734,5.4767466,0.9126929,0.03686172,2.0061169,79.99828,5.6488457,36.2653,0.8350906,0.16557631,0.11360666,0.07867925,-0.99041814,-0.02243507,0.67098373,0.23253667,0.48570076,0.28719983,0.64894795,3.919027,0.5080711
4189,3.2957978,2.6799884,4.7438025,0.6643511,0.032395195,3.647356,82.9966,5.084169,30.860416,0.055584356,0.054117024,0.75172985,0.186818,-0.82268894,0.3696717,0.41422713,0.7061279,0.44575855,0.42570415,2.6968632,3.2766275,0.16781315
4190,4.35431,1.0600908,4.6618752,0.9612436,0.020006867,3.6444654,85.10789,5.583543,33.411884,0.93995494,0.30865505,0.4754381,0.097893715,-0.9598174,-0.4627911,0.26154575,0.03088597,0.075223826,0.16243109,1.9213557,4.7299314,0.96919537
4191,4.547818,0.37105298,5.708164,0.94337404,0.022505036,4.6923304,89.67852,5.3976107,34.91721,0.41583085,0.23796292,0.49904612,0.11392913,-0.9093173,-0.37173277,0.6754332,0.025359917,0.025099972,0.058991365,1.9445622,3.7131598,0.98331636
4192,3.8307438,2.6580567,4.5997086,0.7467525,0.015444856,5.2239513,77.947914,4.958822,32.08609,0.5110732,0.19086263,0.823355,0.13889125,0.10128033,0.08459866,0.32303458,0.35387743,0.38603848,0.2178415,3.1886044,4.2284145,0.05933617
4193,3.838306,-0.24728143,5.7851524,0.9189086,0.02779036,4.395706,89.1308,5.6775312,33.520123,0.37912968,0.23126167,0.13364373,0.14066866,-0.7548517,0.03205836,0.51041275,0.032323595,0.16676,0.20009556,1.8894534,3.5587091,0.0074541527
4194,3.5420284,0.48336148,6.83123,0.6075725,0.024367448,3.5006514,81.86658,5.2073936,36.863865,0.14712486,0.21158259,0.3407723,0.47069386,-0.98399115,-0.44741338,0.05716852,0.07664804,0.15847157,0.84187305,3.97496,5.5812454,0.7542601
4195,3.628676,0.6054008,4.873506,0.63706243,0.038218517,0.31998253,84.673706,5.617331,34.93118,0.21774873,0.13283868,0.022545604,0.8121287,0.7819668,-0.7817344,0.40833345,0.6347788,0.26948914,0.62227213,3.9386418,5.5572715,0.3117734
4196,3.2207642,0.7633023,2.9457903,0.7753172,0.04116446,5.896242,74.19585,5.364627,31.706192,0.11169831,0.1960109,0.17450742,0.4950639,-0.7835083,-0.2903883,0.41533297,0.011246581,0.24314228,0.82330924,0.8316127,1.7561042,0.7090736
4197,3.8763628,2.1648712,4.857105,0.9606523,0.018038012,1.7507305,70.65124,5.85707,36.56651,0.806723,0.15630701,0.5226999,0.1490414,0.90052557,0.24076223,0.85579264,0.35094407,0.23705006,0.14264439,3.7113535,3.4749968,0.258741
