Unnamed: 0,alpha,beta,delta_m,eta_spin,lam,lamb,mmax,mmin,mpp,mu_chi_1,mu_chi_1_at_0,mu_chi_2,mu_chi_2_at_0,rho_chi_1,rho_chi_2,sigma_chi_1,sigma_chi_1_at_0,sigma_chi_2,sigma_chi_2_at_0,sigma_spin,sigpp,xi_spin,rho_chi_1_true,rho_chi_2_true
4996,3.7054238,0.85706306,3.5841365,0.5984369,0.08300819,3.788186,86.35536,5.4867744,30.342716,0.20106673,0.19264247,0.87469095,0.16992828,-0.88443935,0.6404445,0.879513,0.8603548,0.36065665,0.46548894,1.4528228,6.647455,0.18019752,-0.3280741376997431,0.16059864017978548
4997,3.3827276,1.66135,4.283754,0.8946787,0.052129354,3.8684921,83.55032,5.259429,32.39463,0.22571976,0.07566318,0.7946089,0.08194676,-0.8399318,0.69623125,0.78196067,0.37125283,0.80961835,0.16585097,2.5051396,3.7692237,0.2031637,-0.3324963150830408,0.14492786159117835
4998,3.8614616,0.5808997,6.0144553,0.7467118,0.041941024,2.0069323,96.30461,5.202773,35.26069,0.68649185,0.3560144,0.07724492,0.17550246,0.7923765,-0.47836918,0.34067172,0.032287788,0.3984772,0.14894137,1.9819181,4.05567,0.5270727,0.7315044428835328,-0.24341706845630992
4999,3.6690164,0.40911913,6.0369544,0.8594718,0.048132334,2.649642,98.81067,4.748685,34.964363,0.7094352,0.22380756,0.10119923,0.12062762,0.4989463,-0.52233595,0.25919083,0.052631255,0.074970044,0.11435439,2.313417,3.077626,0.4970604,0.4199288925549054,-0.4140072735164522
5000,3.5190024,1.3108552,3.0721698,0.5719809,0.03811819,4.261305,91.228455,5.8591967,33.059563,0.3021801,0.09127251,0.99196625,0.12724619,-0.9382405,0.75801265,0.5858318,0.40037978,0.88697135,0.17046086,1.1448663,4.0992923,0.9603691,-0.5835304224364283,0.19642235439080563
5001,3.6695147,2.5789208,3.5181246,0.8810301,0.060151033,2.9538622,81.28966,5.64038,31.68077,0.65759593,0.07514428,0.98432714,0.33308673,-0.8530566,-0.64483726,0.24195962,0.22394142,0.98991036,0.9218403,2.1062474,4.283085,0.5217535,-0.3023358186186304,-0.2029767875039648
5002,3.5448232,-0.21250856,5.33197,0.82781273,0.037261505,4.28481,97.931885,4.974824,32.883995,0.48910803,0.22010213,0.9927792,0.34741428,0.9238914,0.83997583,0.32145935,0.08349551,0.06456479,0.10582497,1.8439423,4.76837,0.67887163,0.9215923770621791,0.5521609187037732
5003,3.4536781,1.876683,3.0032434,0.969103,0.04638106,1.4933252,78.32452,5.344581,35.681442,0.5166289,0.24406217,0.004718047,0.0022451966,-0.7490171,0.20407581,0.67833257,0.4241685,0.9750199,0.24431197,0.993107,3.7934947,0.6566421,-0.2612231591882164,0.025131876661368513
5004,3.5383387,0.9641397,5.2825546,0.5455834,0.032538254,3.9541817,73.00708,4.327989,29.869766,0.4214503,0.16681296,0.008999634,0.2721901,-0.9441872,-0.1769138,0.80910313,0.9858534,0.0508861,0.77687746,2.0548866,5.9730253,0.9242768,-0.4080325347277062,-0.039449824587625235
5005,3.6468387,1.6384435,8.045112,0.5477027,0.037395835,4.060546,83.69328,4.620413,30.889757,0.4676901,0.1479431,0.028786236,0.10861058,-0.95437074,-0.62120426,0.3602499,0.9834263,0.07581571,0.70428884,1.1396735,7.5040984,0.79402685,-0.3528309857703604,-0.33808544292458514
