event,lnBayes
GW150914,0.15332173
GW150914,0.4605559
GW150914,0.12965022
GW150914,0.12018923
GW150914,0.033338543
GW150914,0.092852555
GW150914,0.32339284
GW150914,0.06971145
GW150914,1.1984282
GW150914,0.0691308
GW150914,0.33818436
GW150914,0.116623014
GW150914,0.120036155
GW150914,0.45355743
GW150914,0.19189738
GW150914,0.018712418
GW150914,0.27524528
GW150914,0.12782454
GW150914,0.21937843
GW150914,0.16598748
GW150914,0.13162516
GW150914,0.29147968
GW150914,0.11906056
GW150914,0.19818114
GW150914,0.19818114
GW150914,0.2439671
GW150914,0.3418032
GW150914,0.14618158
GW150914,0.23723073
GW150914,0.07235818
GW150914,0.5712537
GW150914,1.890254
GW150914,0.033995192
GW150914,0.047700863
GW150914,0.018692998
GW150914,0.032293376
GW150914,0.035771307
GW150914,0.022544168
GW150914,0.23926064
GW150914,0.22878934
GW150914,0.6493697
GW150914,0.01700781
GW150914,0.013369554
GW150914,0.01672954
GW150914,0.03266104
GW150914,0.04569919
GW150914,0.03371101
GW150914,0.10357563
GW150914,0.30195045
GW150914,0.024395041
GW150914,0.022219636
GW150914,0.2582784
GW150914,0.31102946
GW150914,0.22386122
GW150914,0.093308955
GW150914,0.09808111
GW150914,1.0865526
GW150914,0.009907712
GW150914,0.019443983
GW150914,0.01665779
GW150914,0.014467696
GW150914,0.051162742
GW150914,0.09323186
GW150914,0.21655796
GW150914,0.021727622
GW150914,0.019747794
GW150914,0.6116948
GW150914,0.103934325
GW150914,0.1845178
GW150914,0.14144228
GW150914,0.111303814
GW150914,0.026485402
GW150914,0.18292958
GW150914,0.30102342
GW150914,0.1111565
GW150914,0.5296692
GW150914,0.5296692
GW150914,0.012563254
GW150914,0.015686924
GW150914,0.0146896215
GW150914,0.44691756
GW150914,0.046127297
GW150914,0.023185348
GW150914,0.014415289
GW150914,0.039070163
GW150914,0.9212942
GW150914,0.04663704
GW150914,0.022432854
GW150914,0.062556244
GW150914,0.1011934
GW150914,0.19096948
GW150914,0.21968317
GW150914,0.033904627
GW150914,0.04647694
GW150914,0.05381492
GW150914,0.21779105
GW150914,0.25320393
GW150914,0.15667771
GW150914,0.25642636
GW150914,0.053758208
GW150914,0.3149009
GW150914,0.29078242
GW150914,0.069350705
GW150914,0.11373615
GW150914,1.2396731
GW150914,1.2396731
GW150914,0.09215921
GW150914,0.42447564
GW150914,1.1477394
GW150914,0.07726325
GW150914,0.03707272
GW150914,0.018535733
GW150914,0.022625985
GW150914,0.020310406
GW150914,0.05234814
