event,lnBayes
GW150914,0.7008994
GW150914,0.4132433
GW150914,0.37495777
GW150914,0.5982692
GW150914,0.49530002
GW150914,0.5263092
GW150914,0.62431884
GW150914,0.5105846
GW150914,0.83580923
GW150914,-0.0024563414
GW150914,0.6922067
GW150914,0.41058064
GW150914,0.9795109
GW150914,0.8103179
GW150914,0.7345571
GW150914,0.75612044
GW150914,1.6157603
GW150914,0.7149643
GW150914,0.88070464
GW150914,0.9069857
GW150914,1.6371162
GW150914,0.5865405
GW150914,0.5384557
GW150914,0.34193593
GW150914,0.35445684
GW150914,1.096632
GW150914,0.9419875
GW150914,1.3944504
GW150914,0.7648315
GW150914,1.3327253
GW150914,1.2705144
GW150914,0.73751223
GW150914,1.0443318
GW150914,0.78798693
GW150914,0.39699647
GW150914,-0.22951144
GW150914,0.14114515
GW150914,0.22441114
GW150914,1.3461719
GW150914,0.73368263
GW150914,1.3490362
GW150914,1.0060887
GW150914,0.65278333
GW150914,0.34804544
GW150914,3.2258484
GW150914,0.3710992
GW150914,1.3498306
GW150914,1.2851799
GW150914,0.7544705
GW150914,3.2858562
GW150914,0.34691072
GW150914,1.9012232
GW150914,0.95475626
GW150914,1.5945413
GW150914,0.3775772
GW150914,0.33699015
GW150914,3.3845224
GW150914,1.4744741
GW150914,0.054012813
GW150914,2.1755126
GW150914,0.86595654
GW150914,0.5298767
GW150914,1.8517929
GW150914,-0.03279829
GW150914,-0.36148533
GW150914,0.18949555
GW150914,-0.59336656
GW150914,0.11430233
GW150914,-0.690912
GW150914,-0.16795015
GW150914,-0.69496137
GW150914,4.3799405
GW150914,1.635618
GW150914,0.63728786
GW150914,0.46266103
GW150914,0.48534775
GW150914,1.4551163
GW150914,1.0883058
GW150914,0.48556548
GW150914,0.14389852
GW150914,1.5612695
GW150914,0.4314634
GW150914,1.3547257
GW150914,1.0882894
GW150914,1.4124289
GW150914,-0.17834438
GW150914,0.68998176
GW150914,0.883774
GW150914,1.155121
GW150914,0.9074251
GW150914,0.7844687
GW150914,1.1429434
GW150914,0.72017294
GW150914,0.42602655
GW150914,1.4880955
GW150914,0.5056696
GW150914,2.0885782
GW150914,1.3452071
GW150914,0.69192916
GW150914,2.560782
GW150914,1.5476052
GW150914,1.8376787
GW150914,0.4826283
GW150914,0.10988923
GW150914,0.42988124
GW150914,0.3963116
GW150914,0.84001213
GW150914,0.7399939
GW150914,0.8139561
GW150914,0.7092363
GW150914,1.1304241
GW150914,0.6682964
GW150914,0.34676823
GW150914,1.0888073
GW150914,1.0888073
GW150914,-0.0971602
GW150914,0.97690237
GW150914,2.3908541
GW150914,1.9764036
GW150914,0.0008194664
GW150914,3.1111174
GW150914,2.1309133
GW150914,0.23204234
GW150914,0.9401691
GW150914,0.61692744
GW150914,1.456672
GW150914,1.3478001
GW150914,0.41036063
GW150914,1.3915628
GW150914,0.50787675
GW150914,-0.044809062
GW150914,1.9229404
GW150914,2.5631733
GW150914,0.49155957
GW150914,2.2866738
GW150914,1.2648151
GW150914,0.25823748
GW150914,0.84924835
GW150914,1.2281628
GW150914,0.8230399
GW150914,1.5294183
GW150914,1.37589
GW150914,1.4280949
GW150914,1.4334503
GW150914,2.5193267
GW150914,1.0849992
GW150914,1.1082237
GW150914,0.3138083
GW150914,1.7120618
GW150914,2.1418476
GW150914,0.27036357
GW150914,0.5362849
GW150914,0.8225434
